LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
State Revenue,(462001) School Aid Chapter 70 Total,,,,,19006095,19108128,19316888,19448713,19582488,19717388,2
State Revenue,(462004) Construction of School Proj,,,,,4230955,4230955,4230955,4230955,4230955,3547977,2
State Revenue,(462004) Construction of School Proj Total,,,,,4230955,4230955,4230955,4230955,4230955,3547977,2
State Revenue,(462005) Charter School Reimbursement,,,,,2453082,1391191,1116310,1343233,1504680,1010387,2
State Revenue,(462005) Charter School Reimbursement Total,,,,,2453082,1391191,1116310,1343233,1504680,1010387,2
State Revenue,(466000) Unrestricted General Govt Aid,,,,,21311532,21311532,21335706,21815292,22420271,23227401,2
State Revenue,(466000) Unrestricted General Govt Aid Total,,,,,21311532,21311532,21335706,21815292,22420271,23227401,2
State Revenue,Police Career Incentive,,,,,50682,0,0,0,0,0,2
State Revenue,Police Career Incentive Total,,,,,50682,0,0,0,0,0,2
State Revenue,(466003) Veterans & Benefits,,,,,192634,175514,217667,333552,298065,379359,2
State Revenue,(466003) Veterans & Benefits Total,,,,,192634,175514,217667,333552,298065,379359,2
State Revenue,(468014) State Qualified Bonds,,,,,0,0,0,0,0,0,2
State Revenue,(468014) State Qualified Bonds Total,,,,,0,0,0,0,0,0,2
State Revenue Total,,,,,,47567961,46535695,46530757,47480448,48335255,48173210,1
Other Financing Sources,(493000) Bond Premium,,,,,0,0,0,600000,0,150000,2
Other Financing Sources,(493000) Bond Premium Total,,,,,0,0,0,600000,0,150000,2
Other Financing Sources,(497002) Transfers from Parking,,,,,1473980,1892036,1627487,2105982,1736899,1323832,2
Other Financing Sources,(497002) Transfers from Parking Total,,,,,1473980,1892036,1627487,2105982,1736899,1323832,2
Other Financing Sources,(497003) Transfers from Stability,,,,,0,0,3500000,0,0,0,2
Other Financing Sources,(497003) Transfers from Stability Total,,,,,0,0,3500000,0,0,0,2
Other Financing Sources,(497004) Transfers from Capital,,,,,0,0,0,0,0,0,2
Other Financing Sources,(497004) Transfers from Capital Total,,,,,0,0,0,0,0,0,2
Other Financing Sources,(497005) Indirect Costs/Enterprise,,,,,837676,1105382,1105382,1105382,1105382,1105382,2
Other Financing Sources,(497005) Indirect Costs/Enterprise Total,,,,,837676,1105382,1105382,1105382,1105382,1105382,2
Other Financing Sources,Free Cash Appropriations,,,,,3500000,3500000,3500000,3500000,3500000,3500000,2
Other Financing Sources,Free Cash Appropriations Total,,,,,3500000,3500000,3500000,3500000,3500000,3500000,2
Other Financing Sources,Overlay Surplus,,,,,0,100000,0,0,0,382378,2
Other Financing Sources,Overlay Surplus Total,,,,,0,100000,0,0,0,382378,2
Other Financing Sources Total,,,,,,5811656,6597418,9732869,7311364,6342281,6461592,1
REVENUES TOTAL,,,,,,176459890,182709999,188653351,194287642,202936810,211027355,0
